0,1,2,3,4,5,6,7,8,9
ステータス,,タスク名,項目1,項目2,成果物,担当者,レビュアー,開始日,終了日
完了,運営 コンセプト定義 / 目的設定,,,,,生徒,梶,06/03,06/10
完了,運営 ステークホルダー一覧・連絡フロー,,,,,生徒,梶,06/03,06/10
完了,運営 WBSの作成,,,,,生徒,梶,,
完了,運営 リスク管理の洗い出し,,,,,生徒,梶,07/25,08/08
完了,運営 予算計画の作成,,,,,生徒,梶,06/24,07/01
完了,運営,ファーム訪問準備：インタビューリスト作成,準備,質問設計,リスト,生徒,梶,06/10,06/10
完了,運営,タネノチカラ訪問準備：インタビューリスト作成,準備,質問設計,リスト,生徒,梶,06/10,06/10
完了,運営,パソナ チャレンジファーム訪問,現地訪問,インタビュー,,生徒,梶,06/17,06/17
完了,運営,チャレンジファーム訪問レポート作成,現地訪問,,訪問レポート,生徒,梶,06/17,06/17
完了,運営,パソナ タネノチカラ研修,現地訪問,体験,,生徒,梶,06/24,06/24
完了,運営,タネノチカラ　訪問レポート作成,現地訪問,,訪問レポート,生徒,梶,06/24,06/24
完了,運営,現地訪問学びまとめ,報告,ドキュメント,レポート,生徒,梶,07/01,07/01
完了,運営,運営マニュアルの構成案作成,準備,運営手順,マニュアル草案,生徒,梶,07/29,07/29
完了,運営,マニュアル共有・フィードバック反映,準備,マニュアル改善,完成マニュアル,生徒,梶,08/05,08/26
完了,運営,イベント企画テーマ検討,企画,テーマ,企画案,生徒,梶,08/05,08/05
完了,運営,イベント内容の企画立案,カフェ,企画,企画案,生徒,梶,08/05,08/05
完了,運営,広報活動についての書籍・事例調査,広報,リサーチ,参考メモ,生徒,梶,08/05,08/22
完了,運営,他地域の類似事例をリサーチ,広報,ベンチマーク,事例一覧,生徒,梶,08/05,08/22
完了,運営,参加者向け事前案内資料作成,準備,説明資料,案内スライド,生徒,梶,08/05,08/22
完了,運営,案内資料ブラッシュアップ,準備,説明資料,案内スライド,生徒,梶,09/03,09/09
完了,運営,リハーサルと役割分担確認,準備,動作確認,リハ議事録,生徒,梶,09/16,09/30
完了,運営,チラシ・SNS等の媒体構成検討,広報,媒体計画,選定資料,生徒,梶,08/19,08/22
完了,運営,広報物デザイン制作（ドラフト）,広報,デザイン,初稿,生徒,梶,08/26,09/09
完了,運営,媒体案の比較検討と決定,広報,媒体決定,選定資料,生徒,梶,08/26,08/26
完了,運営,地域団体への広報協力依頼と調整,広報,調整,依頼資料,生徒,梶,09/09,09/09
完了,運営,必要物品リストの作成,準備,持ち物,持ち物リスト,生徒,梶,09/09,09/09
着手中,運営,地域団体・パソナへ協力依頼,広報,連携調整,依頼記録,生徒,梶,09/09,10/09
完了,運営,広報デザイン（チラシ・SNS）制作,広報,制作,広報物,生徒,梶,09/09,09/09
完了,運営,広報活動（配布・投稿）開始,広報,実施,記録写真,生徒,梶,09/16,09/16
着手中,運営,参加者説明資料作成,キャンプ,準備・実施,参加者説明資,料作生成徒,梶,09/16,10/14
完了,運営,配布・投稿を通じた広報実施,広報,実施,投稿ログ,生徒,梶,09/16,10/18
未着手,運営,イベント本番実施,実施,当日,イベント記録,生徒,梶,10/19,10/19
未着手,運営,ふりかえりまとめ,キャンプ,準備・実施,ふりかえりまと,め生徒,梶,10/19,10/28
未着手,運営,アンケート回収と所感まとめ,実施後,評価,振り返りまとめ,生徒,梶,10/19,10/28
プログラム設計,,,,,,,,,
完了,設計,実施内容の検討：5W1Hで整理,,,,生徒,梶,07/01,07/08
完了,設計,実施候補地リサーチ (淡路島内),,,,生徒,梶,07/08,07/08
完了,設計,キャンプ概要検討・テーマ設定,企画,テーマ,企画案,生徒,梶,07/08,07/08
着手中,設計,必要物品リストの作成,準備,持ち物,持ち物リスト,生徒,梶,07/15,07/25
着手中,設計,必要物品の洗い出しと購入計画,準備,物品計画,持ち物リスト,生徒,梶,07/15,07/25
完了,設計,村田農園長への壁打ち資料作成,,,,生徒,梶,08/22,08/26
完了,設計,村田農園長と壁打ち,,,,生徒,梶,08/26,08/31
完了,設計,WEBリサーチ：ミッション形式で取り組む,,,,生徒,梶,,
完了,設計,現地リサーチ,,,,生徒,梶,,
完了,設計,・タネノチカラ,,,,生徒,梶,,
完了,設計,・村田農園長の農園見学,,,,生徒,梶,,
インフラ・ロジ確認,,,,,,,,,
未着手,インフラ,交通／送迎／駐車場案内,,,,生徒,梶,09/09,09/16
食糧・資材調達＆生産,,,,,,,,,
完了,資材調達,プロジェクトの範囲検討(どこまでを生徒にさせるのか),,,,生徒,梶,07/25,08/08
完了,資材調達,必要物の確認,,,,生徒,梶,07/25,08/08
完了,資材調達,調理器具・食器の確認,,,,生徒,梶,07/25,08/08
安全管理,,,,,,,,,
完了,安全管理,現地設備と天候リスク調査,準備,安全対策,リスク資料,生徒,梶,07/22,08/08
完了,安全管理,安全対策・緊急時対応の整理,準備,安全管理,対策リスト,生徒,梶,07/29,08/08
完了,安全管理,緊急時対応マニュアル作成,,,,生徒,梶,07/29,08/08
完了,安全管理,救護手配,,,,生徒,梶,09/02,09/16
未着手,安全管理,天気の確認,,,,生徒,梶,,
完了,安全管理,危険生物対策（マダニ、スズメバチなど）,,,,生徒,梶,07/29,08/08
,,PR・集客,,,,,,,
完了,集客,ペルソナ設定,,,,生徒,梶,08/08,08/08
完了,集客,参加料金設計,,,,生徒,梶,08/08,08/08
完了,集客,LP作成,,,,生徒,梶,08/22,09/02
完了,集客,SNSやるのか？,,,,生徒,梶,08/08,08/22
,,参加者管理,,,,,,,
完了,参加者管理,申込方法の検討,,,,生徒,梶,08/22,08/22
完了,参加者管理,申込フォームの作成,,,,生徒,梶,08/22,08/26
完了,参加者管理,健康状態・食物アレルギー調査（アンケートに盛りこむ）,,,,生徒,梶,08/22,08/26
未着手,参加者管理,交通案内・持ち物リスト送付,,,,生徒,梶,,
未着手,参加者管理,当日のリマインド,,,,生徒,梶,,
,,スタッフ・ボランティア,,,,,,,
完了,スタッフ,当日のスタッフ募集,,,,生徒,梶,08/26,09/09
未着手,スタッフ,役割分担表の作成,,,,生徒,梶,,
未着手,スタッフ,スタッフ事前説明会・研修（安全・プログラム内容）,,,,生徒,梶,,
ステータス,,タスク名,項目1,項目2,成果物,担当者,レビュアー,開始日,終了日
,,本番運営,,,,,,,
未着手,本番運営,設営日（場内設置・機材チェック）,,,,生徒,梶,,
未着手,本番運営,受付フロー／オリエンテーション,,,,生徒,梶,,
未着手,本番運営,デイリーイベント実行／進行管理,,,,生徒,梶,,
未着手,本番運営,記録撮影,,,,生徒,梶,,
未着手,本番運営,撤収・清掃・原状回復,,,,生徒,梶,,
,,事後処理・報告,,,,,,,
完了,報告,参加者アンケート作成,,,,生徒,梶,,
